src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
64.233.170.95,192.168.241.9,443,60332,6,2025-12-20 18:43:26,15.35997986793518,15.234394967436652,0.2604170079903701,0.1953127559927776,0.06510425199759252,3,1,180,54,60,60,60.0,0.0,54,54,54.0,0.0,60,54,58.5,2.598076211353316,6.75,60,20,20,3,5.119993289311727,15.359750032424927,0.0,7.240601431363985,15.35997986793518,15.35997986793518,0.0,7.67998993396759,7.67998993396759,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0.3333333333333333,58.5,64240,65535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.0,54.0,0,3,1,180,54
8.8.4.4,192.168.241.9,53,39364,17,2025-12-20 18:43:26,0.0,0,0,0,0,2,0,528,0,264,264,264.0,0.0,0,0,0,0.0,264,264,264.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,264.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264.0,0,0,2,0,528,0
8.8.4.4,192.168.241.9,53,36220,17,2025-12-20 18:43:26,0.0,0,0,0,0,2,0,432,0,216,216,216.0,0.0,0,0,0,0.0,216,216,216.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,216.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216.0,0,0,2,0,432,0
142.251.10.95,192.168.241.9,443,49308,6,2025-12-20 18:43:26,15.824915170669556,1394.1306959351334,1.895744759226453,1.1374468555358719,0.7582979036905811,18,12,8050,14012,2854,60,447.22222222222223,906.381177819891,5380,54,1167.6666666666667,1603.8730380619975,5380,54,735.4,1283.1403820315218,1646449.2399999995,360,240,20,18,0.5456867300230881,14.970952272415161,0.0,2.729106231883018,0.813159704208374,0.6956062316894531,0.0,0.04783292377696318,0.16415185838244473,15.824842691421509,14.970952272415161,2.5033950805664062e-05,1.4386220628565007,4.284423141018399,3,7,0,0,0,2,0,10,30,0,0,0.6666666666666666,735.4,64240,64240,0,0,0,0,0,0,0,0,2823.5,6.0,0,0,49310.030099951495,0,447.22222222222223,1167.6666666666667,0,18,12,8050,14012
142.251.10.95,192.168.241.9,443,49324,6,2025-12-20 18:43:26,16.97596311569214,2947.6972622392377,3.8289432862819837,2.591900070713958,1.2370432155680255,44,21,9567,40473,5642,60,217.4318181818182,832.3170942322641,8378,54,1927.2857142857142,2831.9234947773766,8378,54,769.8461538461538,1923.3655777210242,3699335.1455621296,880,420,20,44,0.26524942368268967,15.02341890335083,0.0,1.871196019640669,1.9523921012878418,1.6944949626922607,0.0,0.045404467471810275,0.2551990758766956,16.975854873657227,15.02341890335083,4.6253204345703125e-05,0.8487927436828613,3.273521547840595,7,12,0,0,0,2,0,19,65,0,0,0.4772727272727273,769.8461538461538,64240,64240,0,0,0,0,0,0,0,0,309.8,6.8,0,0,10912.136408068662,0,217.4318181818182,1927.2857142857142,0,44,21,9567,40473
74.125.200.95,192.168.241.9,443,55466,6,2025-12-20 18:43:26,15.360415697097778,15.233962713926573,0.26040961904147986,0.19530721428110992,0.06510240476036996,3,1,180,54,60,60,60.0,0.0,54,54,54.0,0.0,60,54,58.5,2.598076211353316,6.75,60,20,20,3,5.12013856569926,15.360028982162476,0.0,7.240695953809436,15.360415697097778,15.360415697097778,0.0,7.680207848548889,7.680207848548889,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0.3333333333333333,58.5,64240,65535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.0,54.0,0,3,1,180,54
74.125.130.95,192.168.241.9,443,48990,6,2025-12-20 18:43:27,15.35982084274292,15.234552694054265,0.26041970417186777,0.19531477812890083,0.06510492604296694,3,1,180,54,60,60,60.0,0.0,54,54,54.0,0.0,60,54,58.5,2.598076211353316,6.75,60,20,20,3,5.119940280914307,15.359442949295044,0.0,7.240421774433358,15.35982084274292,15.35982084274292,0.0,7.67991042137146,7.67991042137146,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0.3333333333333333,58.5,64240,65535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.0,54.0,0,3,1,180,54
142.251.10.95,192.168.241.9,443,46930,6,2025-12-20 18:43:28,15.360079526901245,15.234296123934675,0.2604153183578577,0.19531148876839327,0.06510382958946442,3,1,180,54,60,60,60.0,0.0,54,54,54.0,0.0,60,54,58.5,2.598076211353316,6.75,60,20,20,3,5.120026508967082,15.3599112033844,0.0,7.240691906316906,15.360079526901245,15.360079526901245,0.0,7.680039763450623,7.680039763450623,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0.3333333333333333,58.5,64240,65535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.0,54.0,0,3,1,180,54
172.217.194.95,192.168.241.9,443,54092,6,2025-12-20 18:43:28,15.3599534034729,15.234421215567775,0.2604174566763722,0.19531309250727916,0.06510436416909306,3,1,180,54,60,60,60.0,0.0,54,54,54.0,0.0,60,54,58.5,2.598076211353316,6.75,60,20,20,3,5.1199844678243,15.359728813171387,0.0,7.240592664792063,15.3599534034729,15.3599534034729,0.0,7.67997670173645,7.67997670173645,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0.3333333333333333,58.5,64240,65535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.0,54.0,0,3,1,180,54
8.8.4.4,192.168.241.9,53,43405,17,2025-12-20 18:43:29,0.0,0,0,0,0,2,0,352,0,176,176,176.0,0.0,0,0,0,0.0,176,176,176.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,176.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176.0,0,0,2,0,352,0
