src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
140.82.113.26,192.168.1.200,443,60452,6,2025-10-24 23:58:09,2.291383,314.6571306499175,3.927758912412285,2.1820882846734917,1.7456706277387934,5,4,436,285,107,66,87.2,18.389127222356148,111,54,71.25,23.466731770743024,111,54,80.11111111111111,22.25830404063688,495.4320987654321,100,80,20,3,0.286422875,1.581509,0.0,0.5129503132871247,2.291283,1.871888,0.0,0.57282075,0.7693116347194338,2.291224,2.000744,2.2e-05,0.7637413333333334,0.8826928365440734,3,1,0,0,2,0,2,4,7,0,0,0.8,80.11111111111111,74,591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.2,71.25,0,5,4,436,285
192.168.1.200,91.108.56.200,39650,443,6,2025-10-24 23:58:09,20.645764,60.39979920336201,0.4359247737211372,0.2421804298450762,0.19374434387606096,5,4,725,522,251,66,145.0,70.80960386840192,219,66,130.5,66.69520222624713,251,66,138.55555555555554,69.38637572176881,4814.469135802469,100,80,20,3,2.5807205,20.487963,0.0,6.768378626084814,20.645764,20.583674,0.0,5.161440999999999,8.904054327216476,20.549996,20.539769,0.002242,6.849998666666667,9.680129719518995,3,2,0,0,0,0,0,5,9,0,0,0.8,138.55555555555554,5572,32768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145.0,130.5,0,5,4,725,522
192.168.1.200,20.205.69.80,43542,443,6,2025-10-24 23:58:10,0.071768,4598.14959313343,69.6689332292944,41.801359937576635,27.867573291717758,3,2,198,132,66,66,66.0,0.0,66,66,66.0,0.0,66,66,66.0,0.0,0.0,60,40,20,0,0.017942,0.071687,0.0,0.031029707193268842,0.071768,0.071768,0.0,0.035884,0.035884,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0.6666666666666666,66.0,582,16386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.0,66.0,0,3,2,198,132
192.168.1.200,224.0.0.251,5353,5353,17,2025-10-24 23:58:10,9.195807,256.2037241538453,1.7399234237952144,1.7399234237952144,0.0,16,0,2356,0,236,82,147.25,56.288875455102136,0,0,0,0.0,236,82,147.25,56.288875455102136,3168.4375,320,0,20,16,0.6130538,2.259925,0.0,0.8151397881320888,9.195807,2.259925,0.0,0.6130538,0.8151397881320888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,147.25,0,0,0,0,0,0,0,0,0,0,918.0,7.0,0,0,1104.998976852799210371101508,0,147.25,0,0,16,0,2356,0
192.168.1.200,20.189.173.24,59770,443,6,2025-10-24 23:58:10,0.22462,1175.3183153770813,17.80785326328911,13.355889947466833,4.451963315822278,3,1,198,66,66,66,66.0,0.0,66,66,66.0,0.0,66,66,66.0,0.0,0.0,60,20,20,0,0.07487333333333333,0.224565,0.0,0.10584799496867615,0.22462,0.22462,0.0,0.11231,0.11231,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0.3333333333333333,66.0,610,16386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.0,66.0,0,3,1,198,66
192.168.1.200,44.199.11.105,60876,443,6,2025-10-24 23:58:10,0.0,0,0,0,0,2,0,132,0,66,66,66.0,0.0,0,0,0,0.0,66,66,66.0,0.0,0.0,40,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0.0,66.0,593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.0,0,0,2,0,132,0
192.168.1.200,185.199.111.154,43264,443,6,2025-10-24 23:58:10,0.05902,7827.854964418841,118.60386309725516,67.77363605557437,50.830227041680786,4,3,240,222,66,54,60.0,6.0,90,66,74.0,11.313708498984761,90,54,66.0,11.109841197270617,123.42857142857143,80,60,20,0,0.009836666666666667,0.058878,0.0,0.021931999313534754,0.05902,0.05901,0.0,0.019673333333333334,0.027815224048870952,3e-06,2e-06,1e-06,1.5e-06,5e-07,0,1,0,0,3,0,2,1,5,0,0,0.75,66.0,490,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.0,74.0,0,4,3,240,222
192.168.1.200,44.199.11.105,60874,443,6,2025-10-24 23:58:10,0.280502,1436.7098986816495,21.39022181660024,14.260147877733493,7.1300739388667465,4,2,240,163,66,54,60.0,6.0,97,66,81.5,15.5,97,54,67.16666666666667,14.380735570740308,206.80555555555557,80,40,20,0,0.056100399999999995,0.280395,0.0,0.1121473040631829,0.280502,0.280479,0.0,0.09350066666666666,0.13221364776838365,0,0,0,0,0,0,1,0,0,3,0,2,1,4,0,0,0.5,67.16666666666667,669,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.0,81.5,0,4,2,240,163
192.168.1.200,13.67.9.5,43126,443,6,2025-10-24 23:58:10,11.059138,1849.8729286134235,2.9839577008624,1.7180362520116848,1.2659214488507151,19,14,8301,12157,1494,66,436.89473684210526,455.2963054558787,4410,66,868.3571428571429,1203.2617342126393,4410,66,619.939393939394,882.6424492945047,779057.6932966023,380,280,20,9,0.3455980625,9.032044,0.0,1.56863393732106,11.059138,9.032044,0.0,0.6143965555555556,2.056164381929946,11.016442,9.131312,1e-06,0.8474186153846154,2.4025281765739233,8,8,0,0,0,3,0,16,31,0,0,0.7368421052631579,619.939393939394,64240,65535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,436.89473684210526,868.3571428571429,0,19,14,8301,12157
192.168.1.200,140.82.113.26,51982,443,6,2025-10-24 23:58:11,1.132653,7880.613038591697,19.42342447333826,11.4774780978817,7.945946375456561,13,9,4037,4889,1490,66,310.53846153846155,451.21998990508035,1490,66,543.2222222222222,553.482666149894,1490,66,405.72727272727275,508.644203367968,258718.92561983474,260,180,20,5,0.05393585714285714,0.270163,0.0,0.1049628338155875,1.1326530000000001,0.310265,0.0,0.09438774999999999,0.13150118227993554,0.822862,0.271139,1e-06,0.10285775,0.1299653354973452,4,6,0,0,0,3,0,10,20,0,0,0.6923076923076923,405.72727272727275,64240,65535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310.53846153846155,543.2222222222222,0,13,9,4037,4889
192.168.1.200,239.255.255.250,44686,1900,17,2025-10-24 23:58:12,3.001788,358.1198938765829,1.6656739250073624,1.6656739250073624,0.0,5,0,1075,0,215,215,215.0,0.0,0,0,0,0.0,215,215,215.0,0.0,0.0,100,0,20,5,0.7504470000000001,1.001025,0.0,0.4332708784888502,3.0017880000000003,1.001025,0.0,0.7504470000000001,0.4332708784888502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,215.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215.0,0,0,5,0,1075,0
192.168.1.200,49.213.78.54,44388,443,6,2025-10-24 23:58:13,0.029992,9202.453987730061,100.02667377967458,66.68444918644971,33.342224593224856,2,1,210,66,105,105,105.0,0.0,66,66,66.0,0.0,105,66,92.0,18.384776310850235,338.0,40,20,20,2,0.014996,0.029992,0.0,0.014996,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,3,0,0,0.5,92.0,501,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.0,66.0,0,2,1,210,66
192.168.1.200,40.79.173.41,46072,443,6,2025-10-24 23:58:14,10.245567,1440.4278455257772,3.0256988217440774,1.854460568165725,1.1712382535783525,19,12,6919,7839,1494,66,364.1578947368421,481.451343462539,6432,66,653.25,1744.0586823556139,6432,66,476.06451612903226,1157.3004721914026,1339344.3829344432,380,240,20,11,0.34151889999999996,9.025125,0.0,1.6140471856329837,10.030225,9.025125,0.0,0.5572347222222221,2.0552282020532084,10.088021999999999,9.224414,1e-06,0.917092909090909,2.628338253831443,9,7,0,0,0,3,0,16,29,0,0,0.631578947368421,476.06451612903226,64240,65535,0,0,0,0,0,0,0,0,1767.0,4.0,0,0,3892070.484581497797356828194,0,364.1578947368421,653.25,0,19,12,6919,7839
192.168.1.200,20.205.243.168,44710,443,6,2025-10-24 23:58:16,10.232754,2801.68955493311,7.7203067717644736,4.006741489143588,3.713565282620886,41,38,17365,11304,1490,66,423.5365853658537,533.2268586707279,2914,66,297.4736842105263,542.7213948844969,2914,66,362.8987341772152,541.4905026210316,293211.9644287774,820,760,20,26,0.13118915384615384,4.774035,0.0,0.6010717927381583,10.116304,4.884478,0.0,0.2529076,0.8474414653327625,10.169749999999999,4.83956,0.0,0.274858108108108,0.8674048038142839,22,15,0,0,0,3,0,37,77,0,0,0.926829268292683,362.8987341772152,64240,65535,0,0,0,0,0,0,0,0,3592.6666666666665,5.0,270.0,4.0,50686.36810398747184221293165,59003.49650349650349650349650,423.5365853658537,297.4736842105263,0,41,38,17365,11304
192.168.1.200,20.205.243.166,48944,443,6,2025-10-24 23:58:16,4.595707,52596.477538711675,47.00038535964107,23.065003926490526,23.935381433150546,106,110,34932,206786,1490,66,329.54716981132077,492.0187358772572,5882,66,1879.8727272727272,1661.9383158287899,5882,66,1119.0648148148148,1458.1031867486083,2126064.903206447,2120,2200,20,45,0.021375381395348832,0.671867,0.0,0.06580234543415556,4.595707,0.67969,0.0,0.04376863809523809,0.10138458433097343,4.532114,0.734909,0.0,0.04157902752293578,0.09843803096602012,33,39,0,0,0,3,0,72,214,0,0,1.0377358490566038,1119.0648148148148,64240,65535,0,0,0,0,0,0,0,0,5898.0,7.666666666666667,32624.0,12.0,31865.23458604369718842521557,270075.7270019847552583596691,329.54716981132077,1879.8727272727272,0,106,110,34932,206786
192.168.1.200,185.199.109.154,50530,443,6,2025-10-24 23:58:17,2.971551,2815.36477078805,8.749639498026452,4.374819749013226,4.374819749013226,13,13,3670,4696,1514,66,282.3076923076923,402.53970365387744,1607,66,361.2307692307692,464.5418179149385,1607,66,321.7692307692308,436.4354131168611,190475.86982248523,260,260,20,7,0.11886203999999999,2.600111,0.0,0.507114427366091,2.9715510000000003,2.653325,0.0,0.24762925000000002,0.7260009693327006,2.917671,2.656309,1e-06,0.24313925,0.7283327561673676,6,6,0,0,0,3,0,12,24,0,0,1.0,321.7692307692308,64240,65535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282.3076923076923,361.2307692307692,0,13,13,3670,4696
192.168.1.200,140.82.114.21,42648,443,6,2025-10-24 23:58:17,8.959566,6775.328179958717,11.16125490899894,6.250302749039406,4.910952159959534,56,44,48252,12452,1490,66,861.6428571428571,674.5464992065682,1605,66,283.0,414.0371085696634,1605,66,607.04,642.445747437089,412736.5384,1120,880,20,38,0.09050066666666666,4.927134,0.0,0.5130991926015905,8.959566,4.927134,0.0,0.16290120000000002,0.6798554434546802,8.686156,5.200184,0.0,0.2020036279069767,0.8223528214029243,23,20,0,0,0,3,0,43,98,0,0,0.7857142857142857,607.04,64240,65535,0,0,0,0,0,0,0,0,10354.25,8.5,3870.0,6.0,3025567.974285923003871721820,27742.92985411663500483888311,861.6428571428571,283.0,0,56,44,48252,12452
